date,moon_distance_au,moon_illumination_pct,moon_phase_angle
1990-01-01,0.002544970717281103,15.496739387512207,55.788261795043944
1990-01-02,0.002525154734030366,24.136754989624023,86.89231796264649
1990-01-03,0.002506563439965248,34.15422439575195,122.95520782470703
1990-01-04,0.002489479724317789,45.09843826293945,162.35437774658203
1990-01-05,0.0024745056871324778,56.435455322265625,203.16763916015626
1990-01-06,0.002462611300870776,67.56767272949219,243.24362182617188
1990-01-07,0.0024550657253712416,77.86429595947266,280.31146545410155
1990-01-08,0.0024532396346330643,86.70823669433594,312.1496520996094
1990-01-09,0.0024583141785115004,93.5591812133789,336.81305236816405
1990-01-10,0.0024709650315344334,98.02161407470703,352.8778106689453
1990-01-11,0.0024911074433475733,99.89752197265625,359.63107910156253
1990-01-12,0.0025177868083119392,99.20378875732422,357.1336395263672
1990-01-13,0.002549240831285715,96.1471176147461,346.12962341308594
1990-01-14,0.0025831132661551237,91.0667724609375,327.840380859375
1990-01-15,0.0026167542673647404,84.36675262451172,303.7203094482422
1990-01-16,0.0026475340127944946,76.45781707763672,275.2481414794922
1990-01-17,0.002673113252967596,67.72067260742188,243.79442138671877
1990-01-18,0.002691647270694375,58.49163055419922,210.5698699951172
1990-01-19,0.002701914869248867,49.06584167480469,176.63703002929688
1990-01-20,0.0027033837977796793,39.71131134033203,142.96072082519532
1990-01-21,0.002696220064535737,30.68761444091797,110.4754119873047
1990-01-22,0.002681249286979437,22.264144897460938,80.15092163085937
1990-01-23,0.0026598728727549314,14.733498573303223,53.040594863891606
1990-01-24,0.0026339369360357523,8.415645599365234,30.296324157714846
1990-01-25,0.0026055534835904837,3.6488096714019775,13.13571481704712
1990-01-26,0.002576886210590601,0.7644237279891968,2.7519254207611086
1990-01-27,0.002549915574491024,0.04724014922976494,0.17006453722715378
1990-01-28,0.002526224823668599,1.687213659286499,6.073969173431396
1990-01-29,0.002506848191842437,5.735084056854248,20.646302604675295
1990-01-30,0.002492224331945181,12.07496166229248,43.46986198425293
1990-01-31,0.0024822684936225414,20.422449111938477,73.52081680297852
1990-02-01,0.0024765487760305405,30.34773063659668,109.25183029174805
1990-02-02,0.0024745140690356493,41.31497573852539,148.73391265869142
1990-02-03,0.0024757133796811104,52.72687911987305,189.81676483154297
1990-02-04,0.0024799411185085773,63.96670150756836,230.2801254272461
1990-02-05,0.002487277379259467,74.43614959716797,267.9701385498047
1990-02-06,0.0024980101734399796,83.59127807617188,300.92860107421876
1990-02-07,0.0025124698877334595,90.97810363769531,327.52117309570315
1990-02-08,0.0025308174081146717,96.26541137695312,346.55548095703125
1990-02-09,0.0025528513360768557,99.2681655883789,357.3653961181641
1990-02-10,0.002577880397439003,99.95391845703125,359.8341064453125
1990-02-11,0.002604698995128274,98.4285659790039,354.34283752441405
1990-02-12,0.002631664974614978,94.90460968017578,341.65659484863284
1990-02-13,0.002656858181580901,89.6607894897461,322.7788421630859
1990-02-14,0.0026782825589179993,83.00340270996094,298.8122497558594
1990-02-15,0.0026940740644931793,75.23738861083984,270.85459899902344
1990-02-16,0.0027026920579373837,66.65071105957031,239.94255981445312
1990-02-17,0.0027030743658542633,57.5119514465332,207.04302520751955
1990-02-18,0.002694755094125867,48.07861328125,173.0830078125
1990-02-19,0.002677940297871828,38.61283493041992,139.00620574951174
1990-02-20,0.0026535377837717533,29.400527954101562,105.84190063476562
1990-02-21,0.002623136853799224,20.76940155029297,74.7698455810547
1990-02-22,0.002588922856375575,13.099671363830566,47.15881690979004
1990-02-23,0.002553513739258051,6.819726943969727,24.551016998291015
1990-02-24,0.0025197130162268877,2.3789610862731934,8.564259910583496
1990-02-25,0.002490191487595439,0.19417700171470642,0.6990372061729432
1990-02-26,0.002467144513502717,0.5759580135345459,2.0734488487243654
1990-02-27,0.002451994689181447,3.654313564300537,13.155528831481934
1990-02-28,0.002445229096338153,9.330513954162598,33.589850234985356
1990-03-01,0.002446420257911086,17.275718688964844,62.192587280273436
1990-03-02,0.0024544319603592157,26.977502822875977,97.11901016235352
1990-03-03,0.002467738464474678,37.815101623535156,136.13436584472657
1990-03-04,0.002484765602275729,49.13666915893555,176.892008972168
1990-03-05,0.0025041578337550163,60.31925964355469,217.1493347167969
1990-03-06,0.002524926094338298,70.8061294555664,254.90206604003907
1990-03-07,0.002546464093029499,80.12611389160156,288.4540100097656
1990-03-08,0.0025684586726129055,87.90323638916016,316.4516510009766
1990-03-09,0.0025907347444444895,93.86225128173828,337.90410461425785
1990-03-10,0.002613082295283675,97.83169555664062,352.19410400390626
1990-03-11,0.0026351099368184805,99.74272918701172,359.0738250732422
1990-03-12,0.0026561522390693426,99.62165069580078,358.6379425048828
1990-03-13,0.002675249706953764,97.57505798339844,351.2702087402344
1990-03-14,0.0026911990717053413,93.76957702636719,337.5704772949219
1990-03-15,0.0027026620227843523,88.40990447998047,318.2756561279297
1990-03-16,0.0027083097957074642,81.71943664550781,294.1899719238281
1990-03-17,0.0027069856878370047,73.92728424072266,266.1382232666016
1990-03-18,0.002697866875678301,65.26364135742188,234.94910888671876
1990-03-19,0.0026806145906448364,55.96427536010742,201.4713912963867
1990-03-20,0.00265549891628325,46.28327941894531,166.61980590820312
1990-03-21,0.002623490523546934,36.51221466064453,131.44397277832033
1990-03-22,0.0025862993206828833,27.001630783081055,97.2058708190918
1990-03-23,0.0025463385973125696,18.178062438964844,65.44102478027344
1990-03-24,0.0025065834634006023,10.545632362365723,37.964276504516604
1990-03-25,0.0024703044909983873,4.65910005569458,16.77276020050049
