date,latitude,longitude,depth,magnitude,magnitude_type,MD,ML,Mw,Ms,location,provider
2025-11-20T12:27:24,37.2097,36.5223,5.4,1.8,ML,,1.8,,,ORENCIK-BAHCE (OSMANIYE),KOERI
2025-11-20T12:25:05,39.1698,28.2925,13.2,1.3,ML,,1.3,,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T12:21:25,39.0747,28.3002,10.7,1.5,ML,,1.5,,,MALAZ-GORDES (MANISA),KOERI
2025-11-20T12:19:00,37.084,36.6787,7.5,3.5,ML,,3.5,3.4,,ZINCIRLI-ISLAHIYE (GAZIANTEP),KOERI
2025-11-20T12:14:31,39.1798,28.2887,11.2,3.0,ML,,3.0,2.8,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T12:12:43,39.1917,28.282,5.0,3.5,ML,,3.5,3.3,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T12:10:08,39.1793,28.2712,9.6,1.6,ML,,1.6,,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T12:09:07,37.1237,36.6437,8.4,4.4,ML,,4.4,4.4,,FEVZIPASA-ISLAHIYE (GAZIANTEP),KOERI
2025-11-20T12:08:16,39.2457,28.186,16.9,1.7,ML,,1.7,,,SINDIRGI (BALIKESIR),KOERI
2025-11-20T11:59:39,39.098,27.9967,4.9,1.6,ML,,1.6,,,SARILAR-AKHISAR (MANISA),KOERI
2025-11-20T11:31:49,39.2415,28.167,13.9,1.5,ML,,1.5,,,SINDIRGI (BALIKESIR),KOERI
2025-11-20T11:13:01,39.2172,28.205,5.3,1.2,ML,,1.2,,,PURSUNLER-SINDIRGI (BALIKESIR),KOERI
2025-11-20T11:06:22,39.1465,28.2037,8.0,1.2,ML,,1.2,,,AKTAS-SINDIRGI (BALIKESIR),KOERI
2025-11-20T10:49:48,39.1645,28.1973,16.2,1.4,ML,,1.4,,,AKTAS-SINDIRGI (BALIKESIR),KOERI
2025-11-20T10:26:00,39.1403,28.2858,9.0,2.0,ML,,2.0,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-20T09:53:08,40.7997,27.487,3.1,0.9,ML,,0.9,,,YENIKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI),KOERI
2025-11-20T09:51:40,39.0533,28.2738,4.9,1.7,ML,,1.7,,,MALAZ-GORDES (MANISA),KOERI
2025-11-20T09:12:02,34.8733,32.8412,17.9,1.8,ML,,1.8,,,AKDENIZ,KOERI
2025-11-20T08:12:35,39.1273,28.3145,10.3,1.6,ML,,1.6,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-20T08:02:15,39.2447,28.0867,6.4,1.6,ML,,1.6,,,KOZLU-SINDIRGI (BALIKESIR),KOERI
2025-11-20T07:59:34,39.2232,28.0048,14.4,1.6,ML,,1.6,,,SAHINKAYA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T07:29:37,39.0597,28.2417,13.4,3.3,ML,,3.3,3.1,,DUTLUCA-GORDES (MANISA),KOERI
2025-11-20T07:27:40,39.2267,28.0292,14.4,3.0,ML,,3.0,2.8,,ALAKIR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T07:23:42,40.8287,28.3813,14.1,1.7,ML,,1.7,,,MARMARA DENIZI,KOERI
2025-11-20T07:20:17,40.8102,28.3712,1.6,1.9,ML,,1.9,,,MARMARA DENIZI,KOERI
2025-11-20T07:07:45,39.1823,28.2975,7.6,1.3,ML,,1.3,,,BUYUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-20T07:05:32,39.1295,28.3417,15.1,1.3,ML,,1.3,,,YAYLABAYIR-SINDIRGI (BALIKESIR),KOERI
2025-11-20T06:59:52,37.561,29.7933,9.9,1.8,ML,,1.8,,,KAVAK-YESILOVA (BURDUR),KOERI
2025-11-20T06:45:15,38.2145,42.2558,5.0,2.0,ML,,2.0,,,BOZPINAR-HIZAN (BITLIS),KOERI
2025-11-20T06:21:36,38.5937,30.5903,4.7,1.5,ML,,1.5,,,AGZIKARA-SUHUT (AFYONKARAHISAR),KOERI
