Method,Predictors,EPP,AIC,Pseudo_R2,ROC_AUC
Original GLM,3,3.6666666666666665,17.31497736300213,0.855911737494358,0.9948783610755442
Weighted GLM,3,3.6666666666666665,18.13750276369838,0.9108211892427696,0.9948783610755442
Penalized (L2+balanced),3,3.6666666666666665,,,0.9935979513444303
