Variable,Coefficient,Odds_Ratio,OR_2.5%,OR_97.5%,p_value,Significant
const,-2.2743915583865943,0.10285947338373681,0.07205221634069264,0.1468389426739174,5.6119797571286596e-36,True
depth_c,0.01592588227995986,1.0160533750556153,1.0078420417043752,1.0243316097590667,0.0001196965712718649,True
vs30_c,-0.00010841836735353074,0.9998915875097053,0.9975201847182212,1.0022686278324249,0.9286911045782814,False
pressure_change_c,-0.00953644917380257,0.9905088785546586,0.9793106585428968,1.001835147955384,0.10019516752689603,False
fault_dist_c,-0.000533288924422841,0.9994668532488413,0.9975673008391316,1.0013700227572213,0.5827083324958713,False
soil_class_ZC,-0.20237179443182235,0.8167911930647244,0.4860082709972724,1.3727088464958246,0.44486169029176736,False
soil_class_ZE,0.02129910211897753,1.021527547001998,0.4269902602293911,2.443893049746174,0.9618300826396102,False
