Model,Log_Likelihood,AIC,BIC,Pseudo_R2,LR_Test_pvalue
Main Effects,-2980.472758955363,5974.945517910726,6053.142952672483,0.005522703028520426,
Interaction,-2962.8899308867763,5957.7798617735525,6136.516855514712,0.011389464695179985,0.000056
