Variable,Coefficient,Std Error,t-value,p-value
const,5.703891462880282,1.3388084202912127,4.26042395344331,2.1847915461633735e-05
depth,0.006646515845354899,0.0020516815232520785,3.239545597125446,0.0012269574470154373
pressure_hpa,-0.001563343266028545,0.0014782560407959491,-1.0575591933226816,0.2904495137454529
moon_New Moon,-0.050373519007115175,0.04556687108539549,-1.1054855821175804,0.26915022845597253
moon_Waning,-0.011389228874683965,0.041234165311560315,-0.276208546690065,0.7824310328868996
moon_Waxing,0.04663211424722724,0.052337073956458875,0.8909958223117747,0.37309341516462113
