,Coefficient,Std Error,z-value,p-value,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper
const,-4.81368606569743,0.044782783060064106,-107.4896586762185,0.0,0.008117881436404252,0.007435728602109168,0.008862614888448726
depth_z,0.2190702855797255,0.0053447123920390026,40.9882271506382,0.0,1.244918773450318,1.2319457644540674,1.2580283947612276
tect_Active_Other,-0.1380463794024024,0.04947348591321863,-2.7903103420799855,0.005265754091851408,0.8710582916459151,0.7905608647962203,0.9597522230507554
tect_Low_Moderate,-0.11197695820173947,0.05472223033128732,-2.046279135989764,0.040728915238496234,0.8940648581251114,0.8031365266080359,0.995287779912409
