eclipse_type,n_days,mean,std,median
Annular,18,46.5,37.18673071374345,47.5
Hybrid,3,122.33333333333333,142.13491243650637,66.0
N,24,51.208333333333336,59.643855448433435,40.0
Non-Eclipse,10370,50.032497589199615,62.537208943871086,41.0
P,17,57.1764705882353,61.67073383514019,41.0
Partial,20,44.35,45.468641594191624,39.0
T,26,45.88461538461539,57.54603508362808,39.5
Total,18,35.0,31.723066389875846,30.0
