,Coefficient,Std Error,z-value,p-value,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper
const,-13.366198425614911,8.126608197808611,-1.6447450277249969,0.10002240290234343,1.5672337652194016e-06,1.8956246202573307e-13,12.957321025458885
vs30_estimated_z,-8.918805426903242,5.038396282305038,-1.7701675150536074,0.07669923913745619,0.0001338480405968634,6.885275575603116e-09,2.6019725390657733
mean_depth_z,4.8082739870636875,4.612890466570485,1.042355985235102,0.2972466649307903,122.51996386874865,0.014511335272264865,1034442.4730568988
pct_old_buildings_z,0.9974364191760727,2.3118235615984415,0.43145006208277636,0.6661411557428074,2.7113222178632257,0.029198016497936345,251.77286168046166
