Method,AIC,Pseudo_R2,ROC_AUC
Original GLM,17.346916887529446,0.8554176825530463,0.9948783610755442
Weighted GLM,18.234383952240194,0.9099689330826188,0.9935979513444303
Penalized (L2+balanced),,,0.9935979513444303
