segment_id,start_km,end_km,center_km,segment_length,earthquake_count,max_magnitude,avg_magnitude,is_gap,activity_ratio,fault_name
0,0.0,18.380583544866127,9.190291772433063,18.380583544866127,27,7.4,4.481481481481482,False,3.4941176470588236,Kuzey Anadolu Fayı - Marmara Segmenti
1,18.380583544866127,36.761167089732254,27.57087531729919,18.380583544866127,0,0.0,0.0,True,0.0,Kuzey Anadolu Fayı - Marmara Segmenti
2,36.761167089732254,55.14175063459838,45.95145886216532,18.380583544866127,7,4.9,4.257142857142857,False,0.9058823529411765,Kuzey Anadolu Fayı - Marmara Segmenti
3,55.14175063459838,73.52233417946451,64.33204240703145,18.380583544866127,26,5.1,4.292307692307692,False,3.364705882352941,Kuzey Anadolu Fayı - Marmara Segmenti
4,73.52233417946451,91.90291772433063,82.71262595189756,18.380583544866127,9,5.2,4.566666666666666,False,1.164705882352941,Kuzey Anadolu Fayı - Marmara Segmenti
5,91.90291772433063,110.28350126919676,101.0932094967637,18.380583544866127,2,4.3,4.199999999999999,True,0.2588235294117647,Kuzey Anadolu Fayı - Marmara Segmenti
6,110.28350126919676,128.6640848140629,119.47379304162983,18.38058354486614,3,5.9,4.633333333333334,False,0.38823529411764707,Kuzey Anadolu Fayı - Marmara Segmenti
7,128.6640848140629,147.04466835892902,137.85437658649596,18.380583544866113,2,4.9,4.550000000000001,True,0.2588235294117647,Kuzey Anadolu Fayı - Marmara Segmenti
8,147.04466835892902,165.42525190379513,156.23496013136207,18.380583544866113,2,5.2,4.65,True,0.2588235294117647,Kuzey Anadolu Fayı - Marmara Segmenti
9,165.42525190379513,183.80583544866127,174.61554367622819,18.38058354486614,3,4.7,4.266666666666667,False,0.38823529411764707,Kuzey Anadolu Fayı - Marmara Segmenti
10,183.80583544866127,202.18641899352738,192.99612722109433,18.380583544866113,4,4.3,4.15,False,0.5176470588235293,Kuzey Anadolu Fayı - Marmara Segmenti
0,0.0,19.152854512166837,9.576427256083418,19.152854512166837,32,6.1,4.421875,False,4.226415094339623,Kuzey Anadolu Fayı - Erzincan Segmenti
1,19.152854512166837,38.30570902433367,28.729281768250253,19.152854512166837,2,4.3,4.199999999999999,True,0.2641509433962264,Kuzey Anadolu Fayı - Erzincan Segmenti
2,38.30570902433367,57.458563536500506,47.882136280417086,19.152854512166833,5,4.5,4.26,False,0.6603773584905661,Kuzey Anadolu Fayı - Erzincan Segmenti
3,57.458563536500506,76.61141804866735,67.03499079258393,19.15285451216684,1,4.3,4.3,True,0.1320754716981132,Kuzey Anadolu Fayı - Erzincan Segmenti
4,76.61141804866735,95.76427256083419,86.18784530475077,19.15285451216684,8,5.4,4.325,False,1.0566037735849056,Kuzey Anadolu Fayı - Erzincan Segmenti
5,95.76427256083419,114.91712707300101,105.3406998169176,19.152854512166826,3,4.3,4.133333333333333,False,0.39622641509433965,Kuzey Anadolu Fayı - Erzincan Segmenti
