Variable,Coefficient,Odds_Ratio,OR_2.5%,OR_97.5%,p_value,Significant
const,-8.917494707489096,0.0001340235928469573,4.2109703625018845e-05,0.00042656019618563467,1.7035325345942665e-51,True
vs30,0.0028834594023827375,1.0028876205700035,1.0004781552520041,1.0053028886365067,0.018799778199390375,True
depth,0.0422553483727674,1.04316081416159,1.0383436411871858,1.048000335378469,1.3361809520301852e-71,True
soil_class_ZC,0.13893271521753886,1.1490467840396386,0.6947190583263636,1.9004927187294525,0.5883945950632967,False
soil_class_ZE,1.0007180121382502,2.7202342886682476,1.1426661157640863,6.47579768329647,0.023738962962639526,True
