Variable,Odds Ratio,p-value,95% CI Lower,95% CI Upper
const,183604100874348.7,0.0,115581381880456.03,291660000161134.94
pop_50-100,2.7341010614229777,1.38971430348237e-13,2.0944875288826044,3.569039448070756
pop_100-200,18.047718564338563,2.0148228793076076e-102,13.861864358584784,23.49757124667356
pop_200-500,0.00032021800917056236,0.0,0.00024318155006600268,0.0004216585237215889
pop_>500,699312.4009995582,0.9981057333250232,0.0,inf
vs30,0.8692289169681084,0.0,0.8677457311915121,0.8707146378652694
