,Coefficient,Std Error,z-value,p-value,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper
const,5.322041368603322,2.363767874817182,2.251507614306222,0.024353405173945467,204.8015309754184,1.9920045955223202,21056.009200057713
mean_fault_distance_z,-1.3856372203098917,0.6406920461896441,-2.1627195601234988,0.030562755728807036,0.25016433919358116,0.07126353193134084,0.8781798334729779
major_eq_count_z,-0.1298509150530608,0.5884214927554857,-0.2206767030976202,0.8253441725122629,0.8782263514901882,0.2771667831970245,2.7827343361830654
vs30_estimated_z,-3.4526375742323436,1.2052499276147812,-2.8646652408975433,0.00417450291690297,0.03166201523253511,0.0029828262415006997,0.33608501716845646
tect_Active_Other,24.018282385585767,12135.913329476716,0.001979107936379882,0.9984209013642537,26977860513.090015,0.0,inf
tect_Low_Moderate,-6.338768572936815,2.54518366757725,-2.490495540139413,0.012756509678987551,0.0017664761846107565,1.2040472250037314e-05,0.25916243532618105
