Region,n_events,Mc,b_value,b_std,a_value
Western Turkey,153707,1.6500000000000004,0.5417213583337851,2.29265516623204e-06,6.080533887489256
Central Turkey,61013,1.6499999999999997,0.5443099934956913,6.234784257873895e-06,5.683533868979404
Eastern Turkey,90095,1.4500000000000004,0.46329112221702745,3.3551502935495284e-06,5.626472816832338
Marmara Region,3858,2.9499999999999993,1.0605152928557144,0.00027344708234693755,6.714882337232223
Eastern Anatolia,80608,1.4500000000000004,0.4658122811624859,3.790598578264467e-06,5.581805953503624
