,Coefficient,Std Error,z-value,p-value,IRR,IRR 95% CI Lower,IRR 95% CI Upper
const,8.246460430020404,0.2240491773283889,36.80647493712314,1.45453598845522e-296,3814.101621035974,2458.5625077611544,5917.023109913333
mean_fault_distance_z,-0.16237672891173596,0.11071740268150479,-1.4665872300024683,0.14248837596435035,0.8501208790924684,0.684286321249592,1.0561449010835127
tect_Active_Other,1.262474747061364,0.3062894888006955,4.121835039147766,3.7586632030085056e-05,3.534156818240314,1.9389728617681123,6.441691197536857
tect_Low_Moderate,-0.13981608212410462,0.2756591331433455,-0.507206420225514,0.6120099907148502,0.8695181406231164,0.5065673184239119,1.4925198870409255
