,Coefficient,Std Error,z-value,p-value,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper
const,-15.645317996705602,11.11739636030704,-1.4072825587621227,0.15934361903087946,1.6044446018793713e-07,5.5230603402956264e-17,466.08987081283095
vs30_estimated_z,-10.436017736240503,6.970250640979287,-1.4972227361359696,0.13433531126104284,2.9355878673104992e-05,3.424577365470952e-11,25.16420336591079
mean_depth_z,5.801957692022756,5.965074928756689,0.9726546206573919,0.3307249860881668,330.94681808256337,0.002768708443444409,39558443.45340954
pct_old_buildings_z,1.444548591513298,2.9533142521675044,0.4891279654554577,0.6247511038307934,4.239937766879112,0.012986551230154983,1384.2837831544357
population_density_z,-0.4419180716368103,0.6868307326236935,-0.6434162751405768,0.5199540256861193,0.642802297038314,0.1672807783234074,2.4700673754571776
